Daily,covid: (United States)
6/15/20,59
6/16/20,49
6/17/20,62
6/18/20,64
6/19/20,56
6/20/20,38
6/21/20,36
6/22/20,53
6/23/20,62
6/24/20,71
6/25/20,73
6/26/20,68
6/27/20,54
6/28/20,51
6/29/20,84
6/30/20,81
7/1/20,77
7/2/20,75
7/3/20,56
7/4/20,43
7/5/20,40
7/6/20,81
7/7/20,83
7/8/20,82
7/9/20,78
7/10/20,72
7/11/20,64
7/12/20,46
7/13/20,78
7/14/20,84
7/15/20,100
7/16/20,76
7/17/20,65
7/18/20,50
7/19/20,54
7/20/20,76
7/21/20,75
7/22/20,76
7/23/20,81
7/24/20,69
7/25/20,44
7/26/20,48
7/27/20,70
7/28/20,78
7/29/20,74
7/30/20,64
7/31/20,68
8/1/20,45
8/2/20,40
8/3/20,69
8/4/20,66
8/5/20,66
8/6/20,59
8/7/20,60
8/8/20,50
8/9/20,59
8/10/20,72
8/11/20,65
8/12/20,54
8/13/20,55
8/14/20,47
8/15/20,35
8/16/20,32
8/17/20,57
8/18/20,60
8/19/20,52
8/20/20,54
8/21/20,57
8/22/20,40
8/23/20,40
8/24/20,53
8/25/20,50
8/26/20,55
8/27/20,48
8/28/20,43
8/29/20,33
8/30/20,39
8/31/20,52
9/1/20,47
9/2/20,52
9/3/20,54
9/4/20,38
9/5/20,26
9/6/20,28
9/7/20,23
9/8/20,41
9/9/20,47
9/10/20,43
9/11/20,40
9/12/20,30
9/13/20,30
9/14/20,41
9/15/20,38
9/16/20,40
9/17/20,34
9/18/20,39
9/19/20,25
9/20/20,20
9/21/20,40
9/22/20,42
9/23/20,42
9/24/20,38
9/25/20,30
9/26/20,27
9/27/20,23
9/28/20,42
9/29/20,36
9/30/20,38
10/1/20,38
10/2/20,68
10/3/20,35
10/4/20,29
10/5/20,44
10/6/20,40
10/7/20,41
10/8/20,34
10/9/20,38
10/10/20,29
10/11/20,27
10/12/20,34
10/13/20,53
10/14/20,50
10/15/20,47
10/16/20,41
10/17/20,25
10/18/20,23
10/19/20,45
10/20/20,45
10/21/20,41
10/22/20,45
10/23/20,35
10/24/20,31
10/25/20,36
10/26/20,49
10/27/20,39
10/28/20,58
10/29/20,49
10/30/20,41
10/31/20,29
11/1/20,34
11/2/20,44
11/3/20,34
11/4/20,21
11/5/20,35
11/6/20,32
11/7/20,21
11/8/20,34
11/9/20,52
11/10/20,51
11/11/20,48
11/12/20,64
11/13/20,59
11/14/20,49
11/15/20,44
11/16/20,76
11/17/20,74
11/18/20,62
11/19/20,68
11/20/20,65
11/21/20,43
11/22/20,43
11/23/20,67
11/24/20,67
11/25/20,54
11/26/20,31
11/27/20,37
11/28/20,41
11/29/20,38
11/30/20,58
12/1/20,63
12/2/20,55
12/3/20,70
12/4/20,61
12/5/20,58
12/6/20,37
12/7/20,64
12/8/20,63
12/9/20,63
12/10/20,61
12/11/20,52
12/12/20,47
12/13/20,37
12/14/20,55
12/15/20,56
12/16/20,71
12/17/20,58
12/18/20,64
12/19/20,38
12/20/20,49
12/21/20,81
12/22/20,76
12/23/20,64
12/24/20,47
12/25/20,18
12/26/20,40
12/27/20,47
12/28/20,76
12/29/20,67
12/30/20,78
12/31/20,76
1/1/21,41
1/2/21,49
1/3/21,40
1/4/21,64
1/5/21,82
1/6/21,59
1/7/21,61
1/8/21,59
1/9/21,42
1/10/21,44
1/11/21,77
1/12/21,78
1/13/21,86
1/14/21,72
1/15/21,80
1/16/21,67
1/17/21,47
1/18/21,68
1/19/21,73
1/20/21,59
1/21/21,87
1/22/21,75
1/23/21,60
1/24/21,49
1/25/21,81
1/26/21,83
1/27/21,89
1/28/21,91
1/29/21,76
1/30/21,67
1/31/21,51
2/1/21,77
2/2/21,78
2/3/21,74
2/4/21,82
2/5/21,80
2/6/21,57
2/7/21,43
2/8/21,57
2/9/21,74
2/10/21,69
2/11/21,73
2/12/21,59
2/13/21,46
2/14/21,40
2/15/21,49
2/16/21,59
2/17/21,62
2/18/21,50
2/19/21,60
2/20/21,52
2/21/21,44
2/22/21,61
2/23/21,79
2/24/21,62
2/25/21,56
2/26/21,74
2/27/21,64
2/28/21,46
3/1/21,67
3/2/21,71
3/3/21,73
3/4/21,69
3/5/21,71
3/6/21,66
3/7/21,83
3/8/21,77
3/9/21,88
3/10/21,100
3/11/21,98
3/12/21,90
3/13/21,82
3/14/21,66
3/15/21,83
3/16/21,79
3/17/21,81
3/18/21,78
3/19/21,57
3/20/21,52
3/21/21,37
3/22/21,65
3/23/21,66
3/24/21,47
3/25/21,56
3/26/21,60
3/27/21,40
3/28/21,42
3/29/21,66
3/30/21,63
3/31/21,69
4/1/21,58
4/2/21,53
4/3/21,39
4/4/21,31
4/5/21,63
4/6/21,63
4/7/21,57
4/8/21,52
4/9/21,54
4/10/21,41
4/11/21,32
4/12/21,55
4/13/21,53
4/14/21,63
4/15/21,59
4/16/21,48
4/17/21,31
4/18/21,45
4/19/21,53
4/20/21,44
4/21/21,48
4/22/21,48
4/23/21,49
4/24/21,34
4/25/21,31
4/26/21,62
4/27/21,62
4/28/21,55
4/29/21,45
4/30/21,51
5/1/21,77
5/2/21,39
5/3/21,39
5/4/21,46
5/5/21,41
5/6/21,43
5/7/21,37
5/8/21,29
5/9/21,27
5/10/21,48
5/11/21,38
5/12/21,47
5/13/21,38
5/14/21,47
5/15/21,32
5/16/21,36
5/17/21,53
5/18/21,41
5/19/21,44
5/20/21,38
5/21/21,32
5/22/21,20
5/23/21,32
5/24/21,46
5/25/21,48
5/26/21,38
5/27/21,28
5/28/21,27
5/29/21,21
5/30/21,26
5/31/21,31
6/1/21,44
6/2/21,33
6/3/21,36
6/4/21,32
6/5/21,22
6/6/21,23
6/7/21,29
6/8/21,32
6/9/21,31
6/10/21,34
6/11/21,33
6/12/21,22
6/13/21,15
6/14/21,33
6/15/21,31
6/16/21,28
6/17/21,25
6/18/21,30
6/19/21,22
6/20/21,14
6/21/21,29
6/22/21,33
6/23/21,23
6/24/21,28
6/25/21,29
6/26/21,21
6/27/21,21
6/28/21,25
6/29/21,35
6/30/21,34
7/1/21,22
7/2/21,23
7/3/21,17
7/4/21,19
7/5/21,20
7/6/21,28
7/7/21,36
7/8/21,32
7/9/21,30
7/10/21,22
7/11/21,22
7/12/21,32
7/13/21,30
7/14/21,27
7/15/21,33
7/16/21,33
7/17/21,22
7/18/21,23
7/19/21,39
7/20/21,37
7/21/21,36
7/22/21,42
7/23/21,36
7/24/21,22
7/25/21,23
7/26/21,39
7/27/21,46
7/28/21,47
7/29/21,44
7/30/21,35
7/31/21,34
8/1/21,29
8/2/21,48
8/3/21,52
8/4/21,100
8/5/21,63
8/6/21,54
8/7/21,38
8/8/21,31
8/9/21,57
8/10/21,51
8/11/21,58
8/12/21,54
8/13/21,43
8/14/21,37
8/15/21,35
8/16/21,44
8/17/21,49
8/18/21,50
8/19/21,51
8/20/21,58
8/21/21,31
8/22/21,28
8/23/21,41
8/24/21,54
8/25/21,52
8/26/21,51
8/27/21,46
8/28/21,35
8/29/21,32
8/30/21,44
8/31/21,43
9/1/21,76
9/2/21,53
9/3/21,37
9/4/21,30
9/5/21,26
9/6/21,35
9/7/21,52
9/8/21,37
9/9/21,41
9/10/21,45
9/11/21,32
9/12/21,20
9/13/21,40
9/14/21,41
9/15/21,45
9/16/21,28
9/17/21,38
9/18/21,22
9/19/21,34
9/20/21,49
9/21/21,40
9/22/21,33
9/23/21,38
9/24/21,34
9/25/21,27
9/26/21,21
9/27/21,45
9/28/21,32
9/29/21,40
9/30/21,35
10/1/21,26
10/2/21,21
10/3/21,19
10/4/21,27
10/5/21,25
10/6/21,36
10/7/21,29
