Date,y,Friday,Monday,Thursday,Tuesday,Wednesday
2008-04-07,-0.0013363334354550283,0,1,0,0,0
2008-04-08,-0.0026761581506783427,0,0,0,1,0
2008-04-09,0.02012517188315699,0,0,0,0,1
2008-04-10,-0.03638754682766776,0,0,1,0,0
2008-04-11,0.06733392052135345,1,0,0,0,0
2008-04-14,0.015345295157740857,0,1,0,0,0
2008-04-15,-0.043660748173925845,0,0,0,1,0
2008-04-16,-0.09877084864703423,0,0,0,0,1
2008-04-17,-0.007793465273295719,0,0,1,0,0
2008-04-18,-0.011782114314131231,1,0,0,0,0
2008-04-21,0.018380569034226912,0,1,0,0,0
2008-04-22,0.01804882142601949,0,0,0,1,0
2008-04-23,-0.02922858580843113,0,0,0,0,1
2008-04-24,-0.009871705857847912,0,0,1,0,0
2008-04-25,-0.02342967726157974,1,0,0,0,0
2008-04-28,0.002552283648346032,0,1,0,0,0
2008-04-29,0.03054991853950706,0,0,0,1,0
2008-04-30,0.02717396989272758,0,0,0,0,1
2008-05-01,-0.09187117222944552,0,0,1,0,0
2008-05-02,-0.03707621221961943,1,0,0,0,0
2008-05-05,0.03960392196195461,0,1,0,0,0
2008-05-06,-0.0365079655018149,0,0,0,1,0
2008-05-07,0.08347064987278063,0,0,0,0,1
2008-05-08,-0.016725794797897375,0,0,1,0,0
2008-05-09,0.0005154757256946585,1,0,0,0,0
2008-05-12,-0.08346207854817456,0,1,0,0,0
2008-05-13,0.010680079647615415,0,0,0,1,0
2008-05-14,-0.017797536316534135,0,0,0,0,1
2008-05-15,-0.0770102277521173,0,0,1,0,0
2008-05-16,0.010429453021532975,1,0,0,0,0
2008-05-19,0.03278694220038547,0,1,0,0,0
2008-05-20,0.03350968178450686,0,0,0,1,0
2008-05-21,0.05745166287059433,0,0,0,0,1
2008-05-22,-0.029047924211672016,0,0,1,0,0
2008-05-23,0.08310249658737812,1,0,0,0,0
2008-05-27,0.004603588547322346,0,0,0,1,0
2008-05-28,-0.029022388622101825,0,0,0,0,1
2008-05-29,-0.04876771473825414,0,0,1,0,0
2008-05-30,-0.0170892765365408,1,0,0,0,0
2008-06-02,0.11217049963869496,0,1,0,0,0
2008-06-03,0.020675736207238726,0,0,0,1,0
2008-06-04,0.02766795811635747,0,0,0,0,1
2008-06-05,-0.10432693057159026,0,0,1,0,0
2008-06-06,0.2646269740880074,1,0,0,0,0
2008-06-09,-0.01867566369621665,0,1,0,0,0
2008-06-10,0.0025951325157638205,0,0,0,1,0
2008-06-11,0.04055222267825975,0,0,0,0,1
2008-06-12,-0.03275293897346532,0,0,1,0,0
2008-06-13,-0.09044151809908718,1,0,0,0,0
2008-06-16,-0.012723777528358293,0,1,0,0,0
2008-06-17,0.008591808652607114,0,0,0,1,0
2008-06-18,0.05253197607374127,0,0,0,0,1
2008-06-19,-0.029676252437251138,0,0,1,0,0
2008-06-20,0.05977761446190977,1,0,0,0,0
2008-06-23,-0.010056906040440294,0,1,0,0,0
2008-06-24,-0.009717284420735495,0,0,0,1,0
2008-06-25,-0.05709191268018465,0,0,0,0,1
2008-06-26,0.1319773413472054,0,0,1,0,0
2008-06-27,-0.02047637964351312,1,0,0,0,0
2008-06-30,0.021757688449743018,0,1,0,0,0
2008-07-01,-0.012526143417640578,0,0,0,1,0
2008-07-02,0.09598310758470707,0,0,0,0,1
2008-07-03,-0.04398145780451079,0,0,1,0,0
2008-07-07,0.04035512398266072,0,1,0,0,0
2008-07-08,-0.10201710620890792,0,0,0,1,0
2008-07-09,0.08984881027994196,0,0,0,0,1
2008-07-10,0.014268752155500497,0,0,1,0,0
2008-07-11,0.07424773767881865,1,0,0,0,0
2008-07-14,0.03601308764499467,0,1,0,0,0
2008-07-15,0.0021067898263844587,0,0,0,1,0
2008-07-16,-0.12053260069049498,0,0,0,0,1
2008-07-17,-0.0035856633952218164,0,0,1,0,0
2008-07-18,-0.03838468544725038,1,0,0,0,0
2008-07-21,-0.041580042899087566,0,1,0,0,0
2008-07-22,-0.08112793899264514,0,0,0,1,0
2008-07-23,0.006137826198937102,0,0,0,0,1
2008-07-24,0.09995312630201614,0,0,1,0,0
2008-07-25,-0.022610950280288256,1,0,0,0,0
2008-07-28,0.05761674830274277,0,1,0,0,0
2008-07-29,-0.09079648770755899,0,0,0,1,0
2008-07-30,-0.03722204160755804,0,0,0,0,1
2008-07-31,0.08156537125225305,0,0,1,0,0
