Date,neural network output
2008-11-25,0.015362561
2008-11-26,0.55749345
2008-11-28,0.0032402575
2008-12-01,0.55749345
2008-12-02,0.00088110566
2008-12-03,0.0673998
2008-12-04,0.64293027
2008-12-05,0.55749345
2008-12-08,0.4674226
2008-12-09,4.392279e-05
2008-12-10,0.16117775
2008-12-11,0.024677008
2008-12-12,0.12932745
2008-12-15,0.45997366
2008-12-16,0.08665702
2008-12-17,0.0023857951
2008-12-18,0.09633824
2008-12-19,0.41419667
2008-12-22,0.14931536
2008-12-23,0.022119194
2008-12-24,0.16674128
2008-12-26,0.02932775
2008-12-29,0.0067208707
2008-12-30,0.028985113
2008-12-31,0.3957207
2009-01-02,0.55749345
2009-01-05,0.035501063
2009-01-06,0.14476895
2009-01-07,0.55749345
2009-01-08,0.0012204945
2009-01-09,0.026618809
2009-01-12,0.2293956
2009-01-13,8.304446e-05
2009-01-14,0.31130674
2009-01-15,0.55749345
2009-01-16,0.0020622313
2009-01-20,0.55749345
2009-01-21,0.0053034127
2009-01-22,0.060581326
2009-01-23,0.55749345
2009-01-26,0.00025689602
2009-01-27,0.11945531
2009-01-28,0.6936052
2009-01-29,0.55749345
2009-01-30,0.55749345
2009-02-02,0.067620754
2009-02-03,0.016916156
2009-02-04,0.57495666
2009-02-05,0.06504077
2009-02-06,0.014425099
2009-02-09,0.004663378
2009-02-10,0.22878593
2009-02-11,0.05176261
2009-02-12,0.046940893
2009-02-13,0.95039654
2009-02-17,0.55749345
2009-02-18,0.01093021
2009-02-19,0.17121226
2009-02-20,0.55749345
2009-02-23,0.55749345
2009-02-24,0.55749345
2009-02-25,0.0045739114
2009-02-26,0.18580931
2009-02-27,0.55749345
2009-03-02,0.9805863
2009-03-03,0.0040791035
2009-03-04,0.013409644
2009-03-05,0.9993333
2009-03-06,0.022249132
2009-03-09,0.0073539913
2009-03-10,0.015486121
2009-03-11,0.0038807094
2009-03-12,0.02137205
2009-03-13,0.012046069
2009-03-16,0.458168
2009-03-17,0.09329897
2009-03-18,0.28105363
2009-03-19,1.0
2009-03-20,0.37547716
2009-03-23,0.41046378
2009-03-24,3.6889256e-09
2009-03-25,0.55749345
2009-03-26,0.100808024
2009-03-27,0.07452297
2009-03-30,0.55749345
2009-03-31,0.08051166
2009-04-01,0.024433285
2009-04-02,0.029604644
2009-04-03,0.08395398
2009-04-06,0.80269825
2009-04-07,0.082669795
2009-04-08,0.025005907
2009-04-09,0.2533484
2009-04-13,0.22921318
2009-04-14,0.2441462
2009-04-15,0.18621624
2009-04-16,0.3897526
2009-04-17,0.22599521
2009-04-20,0.9433233
2009-04-21,0.03301832
2009-04-22,0.3114897
2009-04-23,0.032351345
2009-04-24,0.0037780106
2009-04-27,0.33371395
2009-04-28,0.0034733415
2009-04-29,0.24372518
2009-04-30,0.31007975
2009-05-01,0.10991344
2009-05-04,0.31396055
2009-05-05,0.08103818
