Date,spy
2005-09-28,88.63502502441406
2005-09-29,89.35623931884766
2005-09-30,89.63308715820312
2005-10-03,89.3125228881836
2005-10-04,88.30723571777344
2005-10-05,87.14894104003906
2005-10-06,86.83567810058594
2005-10-07,87.1343765258789
2005-10-10,86.39861297607422
2005-10-11,86.27474975585938
2005-10-12,85.59722900390625
2005-10-13,85.5462646484375
2005-10-14,86.44960021972656
2005-10-17,86.77012634277344
2005-10-18,85.83038330078125
2005-10-19,87.25820922851562
2005-10-20,85.72107696533203
2005-10-21,86.05621337890625
2005-10-24,87.38934326171875
2005-10-25,87.21446990966797
2005-10-26,86.95953369140625
2005-10-27,86.03433990478516
2005-10-28,87.27278137207031
2005-10-31,87.51315307617188
2005-11-01,87.77543640136719
2005-11-02,88.69332885742188
2005-11-03,89.07211303710938
